City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,maroantsetra,-15.4333,49.7333,28.19,70,44,2.17,MG,1702452774
131,smithers,54.7804,-127.1743,0.18,74,100,3.09,CA,1702452621
132,aykhal,66.0,111.5,-24.63,97,100,3.99,RU,1702452774
133,port allen,30.4521,-91.2101,7.23,77,0,2.06,US,1702452774
134,benidorm,38.5382,-0.131,19.71,71,100,2.76,ES,1702452774
135,guangyuan,32.442,105.823,11.19,83,100,0.56,CN,1702452774
136,sines,37.9562,-8.8698,14.6,77,100,4.02,PT,1702452774
137,rurrenabaque,-14.4413,-67.5278,23.12,98,100,0.63,BO,1702452775
138,lukolela,-1.0605,17.1821,26.21,80,86,0.47,CD,1702452775
139,callao,-12.0667,-77.15,21.51,83,75,3.6,PE,1702452730
140,nuuk,64.1835,-51.7216,-6.66,86,100,7.72,GL,1702452540
141,blenheim,-41.516,173.9528,13.07,77,61,1.76,NZ,1702452775
142,nuku'alofa,-21.1333,-175.2,25.19,83,20,2.57,TO,1702452776
143,qaqortoq,60.7167,-46.0333,-2.77,83,100,5.56,GL,1702452776
144,ponta grossa,-25.095,-50.1619,12.0,95,9,1.4,BR,1702452776
145,uhrichsville,40.3931,-81.3465,0.42,79,0,1.54,US,1702452694
146,kingston,17.997,-76.7936,27.53,81,20,2.06,JM,1702452776
147,salem,11.65,78.1667,28.11,54,40,4.12,IN,1702452776
148,quellon,-43.1167,-73.6167,7.59,83,53,1.58,CL,1702452776
149,ghatanji,20.1333,78.3167,27.61,39,77,1.67,IN,1702452777
150,berdigestyakh,62.0989,126.6992,-29.49,94,100,4.01,RU,1702452777
151,graaff-reinet,-32.2522,24.5308,18.84,63,8,1.24,ZA,1702452777
152,qarauyl,48.9451,79.255,-24.63,89,100,5.97,KZ,1702452777
153,mora,11.0461,14.1401,20.92,26,7,3.05,CM,1702452777
154,chonchi,-42.6128,-73.8092,6.56,97,22,1.07,CL,1702452777
155,arica,-18.475,-70.3042,21.13,68,100,1.54,CL,1702452778
156,famagusta,35.125,33.95,19.0,72,1,6.44,CY,1702452778
157,djambala,-2.5447,14.7533,22.9,84,99,0.88,CG,1702452778
158,ilulissat,69.2167,-51.1,-6.99,63,100,5.66,GL,1702452778
159,champerico,14.3,-91.9167,26.03,71,3,1.69,GT,1702452778
160,anadyr,64.75,177.4833,-24.72,77,0,5.0,RU,1702452778
161,gizo,-8.103,156.8419,28.16,74,52,2.46,SB,1702452779
162,dudinka,69.4058,86.1778,-24.66,89,100,8.05,RU,1702452779
163,auki,-8.7676,160.7034,26.13,87,99,0.81,SB,1702452779
164,sona,45.4388,10.8255,6.75,95,75,1.03,IT,1702452779
165,wailua homesteads,22.0669,-159.378,23.24,91,100,13.89,US,1702452779
166,souillac,-20.5167,57.5167,30.21,70,40,5.66,MU,1702452779
167,vorgashor,67.5833,63.95,-19.61,98,100,3.91,RU,1702452779
168,mount isa,-20.7333,139.5,37.87,30,40,4.63,AU,1702452661
169,kavieng,-2.5744,150.7967,28.78,77,71,2.88,PG,1702452780
170,namibe,-15.1961,12.1522,23.46,73,99,2.36,AO,1702452780
171,homer,59.6425,-151.5483,-5.06,77,100,9.77,US,1702452780
172,nago,26.5881,127.9761,23.47,69,23,1.85,JP,1702452780
173,georgetown,5.4112,100.3354,31.96,70,20,4.63,MY,1702452776
174,mbengwi,6.0167,10.0,23.27,44,20,1.18,CM,1702452781
175,happy valley-goose bay,53.3168,-60.3315,-7.83,79,20,2.57,CA,1702452611
176,hilton head,32.2163,-80.7526,8.88,62,0,5.14,US,1702452781
177,ismailia,30.6043,32.2723,17.04,55,71,4.63,EG,1702452781
178,albany,42.6001,-73.9662,2.02,77,67,0.45,US,1702452770
179,acarau,-2.8856,-40.12,27.07,75,96,8.08,BR,1702452781
180,huarmey,-10.0681,-78.1522,19.84,90,13,3.22,PE,1702452781
181,cabo san lucas,22.8909,-109.9124,23.2,62,100,3.47,MX,1702452233
182,port blair,11.6667,92.75,31.02,70,40,3.6,IN,1702452782
183,cooper's town,26.8667,-77.5167,23.28,85,100,12.04,BS,1702452782
184,boguchany,58.3814,97.4531,-29.52,90,39,2.24,RU,1702452782
185,ushuaia,-54.8,-68.3,6.81,70,75,10.29,AR,1702452591
186,ronne,55.1009,14.7066,1.95,87,100,6.17,DK,1702452782
187,luanda,-8.8368,13.2343,27.0,78,75,2.57,AO,1702452783
188,minas de marcona,-15.2119,-75.1103,15.06,87,97,3.82,PE,1702452783
189,crane,31.3974,-102.3501,12.46,90,100,8.68,US,1702452783
190,kathu,7.9178,98.3332,32.05,62,89,3.55,TH,1702452783
191,tosontsengel,48.7567,98.2839,-21.17,93,100,1.67,MN,1702452784
192,natchez,31.5604,-91.4032,4.12,81,0,0.0,US,1702452784
193,kenora,49.8167,-94.4337,-11.46,85,20,2.57,CA,1702452784
194,marsh harbour,26.5412,-77.0636,23.84,84,100,11.45,BS,1702452620
195,zheleznodorozhnyy,55.7503,38.0042,-10.77,92,100,5.81,RU,1702452784
196,aldan,58.6031,125.3894,-29.82,94,100,3.32,RU,1702452785
197,antofagasta,-23.65,-70.4,17.43,79,37,1.02,CL,1702452572
198,yellowknife,62.456,-114.3525,-3.71,93,75,4.63,CA,1702452785
199,poplar bluff,36.757,-90.3929,4.07,93,0,1.54,US,1702452785
200,xuddur,4.1213,43.8894,30.05,44,39,3.21,SO,1702452785
201,hermanus,-34.4187,19.2345,19.14,56,95,3.24,ZA,1702452785
202,san pedro pochutla,15.7333,-96.4667,22.82,58,5,1.46,MX,1702452786
203,richards bay,-28.783,32.0377,20.77,86,99,2.64,ZA,1702452786
204,mount pearl,47.5166,-52.7813,1.75,80,75,8.23,CA,1702452786
205,nikolayevsk-on-amure,53.1406,140.73,-22.39,81,100,6.88,RU,1702452786
206,yaren,-0.5472,166.916,29.22,77,99,4.98,NR,1702452786
207,petropavlovsk-kamchatsky,53.0452,158.6483,-7.53,94,75,7.0,RU,1702452669
208,carnarvon,-24.8667,113.6333,28.33,53,0,8.55,AU,1702452787
209,juneau,58.3019,-134.4197,6.0,95,100,9.26,US,1702452774
210,ballina,-28.8667,153.5667,26.55,70,100,7.5,AU,1702452787
211,la passe,45.5549,-0.8967,10.13,81,99,9.55,FR,1702452787
212,sumbawa besar,-8.5,117.4333,30.08,68,100,2.07,ID,1702452787
213,south hedland,-20.4089,118.5983,35.96,30,0,7.72,AU,1702452788
214,purpe,64.4803,76.6897,-17.03,96,100,5.69,RU,1702452788
215,belmonte,-15.8631,-38.8828,24.5,78,82,3.14,BR,1702452716
216,san antonio de pale,-1.4014,5.6325,26.82,81,99,3.22,GQ,1702452788
217,cockburn town,21.4612,-71.1419,26.1,67,100,11.23,TC,1702452788
218,rockford,42.2711,-89.094,-3.62,79,75,1.54,US,1702452749
219,badger,64.8,-147.5333,-14.07,84,100,2.06,US,1702452789
220,canto do buriti,-8.11,-42.9444,23.41,56,48,1.33,BR,1702452789
221,ozar,20.1,73.9333,27.2,37,85,2.55,IN,1702452789
222,slatina,44.4333,24.3667,5.25,80,100,4.03,RO,1702452789
223,mangalia,43.8,28.5833,8.93,75,25,4.95,RO,1702452790
224,kapuskasing,49.4169,-82.4331,-9.95,73,100,8.23,CA,1702452790
225,valparaiso,-33.0393,-71.6273,11.8,87,0,0.0,CL,1702452790
226,baglung,28.2719,83.5898,17.59,38,13,2.68,NP,1702452791
227,cuatro cienegas de carranza,26.9833,-102.0833,12.25,78,100,1.66,MX,1702452791
228,kuluncak,38.8828,37.6728,4.53,87,85,3.62,TR,1702452791
229,polyarnyy,69.1989,33.4478,-17.32,100,88,4.32,RU,1702452791
230,burang,30.25,81.1667,-6.83,56,0,2.39,CN,1702452791
231,codrington,-38.2667,141.9667,20.74,60,59,5.65,AU,1702452791
232,laiyang,36.9758,120.7136,4.77,63,100,3.04,CN,1702452791
233,lebu,-37.6167,-73.65,9.81,89,1,7.71,CL,1702452792
234,mar del plata,-38.0023,-57.5575,18.38,90,92,4.02,AR,1702452559
235,ola,59.5833,151.2833,-13.81,81,100,5.56,RU,1702452792
236,sitka,57.0531,-135.33,6.94,65,100,12.35,US,1702452792
237,susuman,62.7833,148.1667,-28.34,98,100,0.89,RU,1702452792
238,weno,7.4515,151.8468,24.97,100,100,3.6,FM,1702452792
239,makungu,-8.7333,35.2833,26.24,57,39,2.64,TZ,1702452793
240,biella,45.5871,8.0859,7.04,95,100,0.35,IT,1702452793
241,rosetta,31.4044,30.4164,20.33,67,67,8.1,EG,1702452793
242,soufriere,13.8562,-61.0566,25.78,85,40,4.63,LC,1702452793
243,colonia,50.9333,6.95,8.81,89,100,2.57,DE,1702452732
244,vuktyl,63.8567,57.3094,-14.94,94,100,4.92,RU,1702452794
245,klaksvik,62.2266,-6.589,2.51,69,100,3.95,FO,1702452794
246,nova sintra,14.8667,-24.7167,21.48,62,100,7.06,CV,1702452795
247,mili,6.0815,171.735,27.65,84,100,12.84,MH,1702452795
248,acapulco de juarez,16.8634,-99.8901,26.9,89,75,0.0,MX,1702452795
249,recani,31.2846,-4.2688,11.56,36,30,0.9,MA,1702452795
250,praia da vitoria,38.7333,-27.0667,14.14,77,40,5.35,PT,1702452795
251,rudnichnyy,59.617,52.4703,-15.02,80,100,5.25,RU,1702452795
252,pacific grove,36.6177,-121.9166,9.49,90,0,4.12,US,1702452796
253,kiffa,16.6166,-11.4045,20.17,24,96,4.03,MR,1702452796
254,bikenibeu village,1.3673,173.1241,28.98,84,75,5.14,KI,1702452796
255,gao,16.6362,1.637,18.53,24,0,6.32,ML,1702452796
256,la paz,-16.5,-68.15,9.99,90,75,4.12,BO,1702452605
257,vilyuchinsk,52.9306,158.4028,-6.71,90,100,4.97,RU,1702452797
258,chui,-33.6971,-53.4616,18.68,97,90,4.5,UY,1702452797
259,zaozersk,69.4005,32.4476,-19.34,99,68,3.06,RU,1702452797
260,merritt,50.1123,-120.7942,-5.64,96,93,1.52,CA,1702452797
261,yeoju,37.2958,127.6339,10.7,61,0,1.54,KR,1702452797
262,al khafji,28.4391,48.4913,22.02,53,100,5.06,SA,1702452797
263,laholm,56.5121,13.0437,-0.84,89,52,3.94,SE,1702452798
264,amarante do maranhao,-5.5667,-46.7422,23.31,76,20,1.12,BR,1702452798
265,coahuayana de hidalgo,18.7,-103.6583,23.49,63,91,1.95,MX,1702452798
266,dolores,-36.3132,-57.6792,18.5,96,100,3.45,AR,1702452798
267,preobrazheniye,42.9019,133.9064,-6.6,41,4,3.46,RU,1702452798
268,jiazi,22.8779,116.067,20.56,79,100,7.92,CN,1702452798
269,lockwood,45.8191,-108.4149,1.25,86,0,3.6,US,1702452799
270,sept-iles,50.2001,-66.3821,-6.71,94,100,1.03,CA,1702452799
271,kavaratti,10.5669,72.642,28.64,72,72,3.67,IN,1702452799
272,tofol,5.3248,163.0078,28.88,74,75,7.72,FM,1702452799
273,leava,-14.3,-178.1667,27.26,67,100,4.31,WF,1702452799
274,darende,38.5458,37.5058,7.43,71,94,2.99,TR,1702452799
275,kariba,-16.5167,28.8,27.25,57,100,2.47,ZW,1702452800
276,juegang,32.3174,121.1855,16.1,75,100,4.17,CN,1702452800
277,leh,34.1667,77.5833,-6.38,48,20,2.11,IN,1702452801
278,severo-yeniseyskiy,60.3725,93.0408,-26.67,96,100,1.52,RU,1702452801
279,denison,33.7557,-96.5367,9.01,60,0,2.68,US,1702452801
280,xiaoshi,41.2971,124.1209,-5.44,55,100,0.81,CN,1702452801
281,fortuna,40.5982,-124.1573,8.7,96,100,0.0,US,1702452801
282,lazaro cardenas,17.9583,-102.2,24.34,57,49,1.98,MX,1702452801
283,stewartville,43.8555,-92.4885,-5.18,67,100,4.63,US,1702452801
284,tirlyanskiy,54.2109,58.5806,-19.89,67,89,1.81,RU,1702452802
285,alo,7.4178,6.7371,26.9,22,3,2.53,NG,1702452802
286,fuglafjordur,62.244,-6.814,2.26,72,100,3.48,FO,1702452802
287,olonkinbyen,70.9221,-8.7187,-0.18,79,100,7.22,SJ,1702452803
288,harper,4.375,-7.7169,26.33,81,2,0.94,LR,1702452803
289,st. john's,47.5649,-52.7093,1.66,80,75,8.23,CA,1702452511
290,el granada,37.5027,-122.4694,11.94,92,100,3.09,US,1702452707
291,howrah,22.5892,88.3103,25.0,44,32,2.57,IN,1702452803
292,sao joao da barra,-21.6403,-41.0511,20.79,89,0,2.77,BR,1702452803
293,puerto cabezas,14.0351,-83.3888,25.09,92,84,5.23,NI,1702452804
294,treasure island,27.7692,-82.769,15.59,82,100,3.13,US,1702452804
295,caninde,-4.3589,-39.3117,24.42,80,39,1.88,BR,1702452804
296,enewetak,11.3474,162.3373,27.83,76,69,8.6,MH,1702452804
297,laascaanood,8.4774,47.3597,26.72,38,98,1.71,SO,1702452804
298,sanchor,24.7553,71.7722,27.7,15,13,0.64,IN,1702452805
299,forster,-32.1667,152.5167,25.21,79,27,8.93,AU,1702452805
300,manismata,-2.4667,111.0333,29.71,69,92,1.96,ID,1702452806
301,prince rupert,54.3161,-130.3201,7.83,95,100,17.49,CA,1702452806
302,bac lieu,9.285,105.7244,28.94,67,100,8.86,VN,1702452807
303,talara,-4.5772,-81.2719,21.41,83,67,7.03,PE,1702452807
304,papao,-17.75,-149.55,26.82,87,100,12.14,PF,1702452807
305,bei'an,24.5399,109.533,21.52,68,98,1.8,CN,1702452807
306,wynyard,-41.0,145.7167,18.08,99,100,2.71,AU,1702452808
307,viedma,-40.8135,-62.9967,13.13,68,0,3.74,AR,1702452808
308,haiku-pauwela,20.9219,-156.3051,23.36,77,20,5.66,US,1702452808
